,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
AO-MLP,20.8,9.964381008817803,0.8111111111111111,0.0852656624683062,0.6185798460798461,0.199610351746458,0.7276094276094276,0.1183246084007921,0.6528910532850034,0.17002911799356907,0.8613324979114452,0.06136280098136341,0.8933795099298532,0.04464065063037403
AOA-MLP,20.8,9.964381008817803,0.8444444444444444,0.07908946853356524,0.7179928840222958,0.19985687933088078,0.7670033670033669,0.11006662537360794,0.7105713423329558,0.16431163733431728,0.8844987468671679,0.05657024443057851,0.9133927210787466,0.034507967635530545
ARO-MLP,20.8,9.964381008817803,0.9822222222222223,0.020420812966059566,0.973989898989899,0.030783615855689332,0.973063973063973,0.030981310307165593,0.9732133169473324,0.03091107559416216,0.9865538847117794,0.015375475908482957,0.9867931191615401,0.015323155619801757
ASO-MLP,20.8,9.964381008817803,0.9577777777777777,0.02445566521365815,0.9416711991711992,0.03542150042282618,0.9347138047138047,0.037491498077018896,0.9349900259898242,0.03789401648050305,0.9680910609857978,0.018268024078180956,0.9702328889857494,0.017333859830323258
GA-MLP,20.8,9.964381008817803,0.968888888888889,0.018739423171368154,0.954040404040404,0.02911371056361773,0.952188552188552,0.02807182617439011,0.9527758402438711,0.02834822504398849,0.9764411027568922,0.014005883873238626,0.9769195716564137,0.014268070474204017
GBO-MLP,20.8,9.964381008817803,0.9888888888888889,0.015713484026367696,0.9849326599326599,0.02255672384882882,0.982154882154882,0.024642845925456184,0.9830358142378604,0.023910483014536684,0.9913951545530493,0.012016724235494982,0.9921128579023316,0.01146648594399137
HPSO-TVAC-MLP,20.8,9.964381008817803,0.9822222222222223,0.014054567378526096,0.9765993265993267,0.020244063994016723,0.9710437710437709,0.02206179551121102,0.9728056352097273,0.02138653289237745,0.9861319966583124,0.010750681999763017,0.9875674033568769,0.010265386527743232
JADE-MLP,20.8,9.964381008817803,0.9866666666666667,0.018739423171368137,0.980976430976431,0.0278759502704549,0.9791245791245791,0.028780822311694057,0.9797118671798979,0.028438993974051564,0.9898078529657477,0.01418195469375819,0.9902863218652692,0.013940175883817704
L-SHADE-MLP,20.8,9.964381008817803,0.9866666666666667,0.018739423171368133,0.980976430976431,0.027875950270454898,0.9791245791245791,0.028780822311694057,0.9797118671798979,0.02843899397405157,0.9898078529657477,0.014181954693758199,0.9902863218652692,0.013940175883817685
P-PSO-MLP,20.8,9.964381008817803,0.8866666666666667,0.09038858347129841,0.8138260813260814,0.1852601767389864,0.8327272727272728,0.12140119102975001,0.8113876552252952,0.16433553849021054,0.9156265664160401,0.0644582125557264,0.92919082290707,0.04866653926765733
PSO-MLP,20.8,9.964381008817803,0.9755555555555556,0.01945766746157581,0.9663364413364413,0.028316398444198775,0.9612794612794613,0.030209357651391162,0.9626233563254024,0.029711580321425405,0.981203007518797,0.014799784252628513,0.982530932073266,0.014248759131889681
RW-GWO-MLP,20.8,9.964381008817803,0.9911111111111112,0.01147550621098485,0.9888888888888889,0.014344382763731187,0.9851851851851852,0.019125843684974986,0.9863597612958227,0.01760947244652413,0.9929824561403509,0.00905961016656702,0.9939393939393939,0.00782420878021703
SMA-MLP,20.8,9.964381008817803,0.9888888888888889,0.015713484026367668,0.985982905982906,0.0192046884452403,0.9821548821548822,0.025742839374133752,0.982893748651253,0.024355427140193064,0.9913951545530493,0.012284773997716063,0.9924044795783926,0.010541742034672223
WOA-MLP,20.8,9.964381008817803,0.9044444444444444,0.08577892918052797,0.8494757530051649,0.16384598770991549,0.8562289562289562,0.12328372728635927,0.8405857354253164,0.1537458816131173,0.9290183792815372,0.06204554262880712,0.9391923337842483,0.052006103429722526
